关卡ID,胜利条件(1为达到具体等级，2为吃多少条鱼),胜利值,通关奖励,关卡图标
int,int,int,int,string
id,victoryType,victoryNum,stageReward,icon
1,1,2,69004000,MiniGame/16100003_1.png
2,2,5,69004000,MiniGame/16100003_2.png
3,1,3,69004000,MiniGame/16100003_3.png
4,2,8,69004000,MiniGame/16100003_4.png
5,1,4,69004000,MiniGame/16100003_5.png
6,2,10,69004000,MiniGame/16100003_6.png
7,1,5,69004000,MiniGame/16100003_7.png
8,2,13,69004000,MiniGame/16100003_8.png
9,1,6,69004000,MiniGame/16100003_9.png
10,2,15,69004000,MiniGame/16100003_10.png
11,1,7,69004000,MiniGame/16100003_1.png
12,2,18,69004000,MiniGame/16100003_2.png
13,1,8,69004000,MiniGame/16100003_3.png
14,2,22,69004000,MiniGame/16100003_4.png
15,1,9,69004000,MiniGame/16100003_5.png
16,2,25,69004000,MiniGame/16100003_6.png
17,1,7,69004000,MiniGame/16100003_7.png
18,2,30,69004000,MiniGame/16100003_8.png
19,1,8,69004000,MiniGame/16100003_9.png
20,2,35,69004000,MiniGame/16100003_10.png
21,1,9,69004000,MiniGame/16100003_1.png
22,2,40,69004000,MiniGame/16100003_2.png
23,1,9,69004000,MiniGame/16100003_3.png
24,2,50,69004000,MiniGame/16100003_4.png
25,1,8,69004000,MiniGame/16100003_5.png
26,2,22,69004000,MiniGame/16100003_6.png
27,1,9,69004000,MiniGame/16100003_7.png
28,2,25,69004000,MiniGame/16100003_8.png
29,1,7,69004000,MiniGame/16100003_9.png
30,2,30,69004000,MiniGame/16100003_10.png
31,1,8,69004000,MiniGame/16100003_1.png
32,2,35,69004000,MiniGame/16100003_2.png
33,1,9,69004000,MiniGame/16100003_3.png
34,2,40,69004000,MiniGame/16100003_4.png
35,1,9,69004000,MiniGame/16100003_5.png
36,2,50,69004000,MiniGame/16100003_6.png
37,1,8,69004000,MiniGame/16100003_7.png
38,2,22,69004000,MiniGame/16100003_8.png
39,1,9,69004000,MiniGame/16100003_9.png
40,2,25,69004000,MiniGame/16100003_10.png
41,1,7,69004000,MiniGame/16100003_1.png
42,2,30,69004000,MiniGame/16100003_2.png
43,1,8,69004000,MiniGame/16100003_3.png
44,2,35,69004000,MiniGame/16100003_4.png
45,1,9,69004000,MiniGame/16100003_5.png
46,2,40,69004000,MiniGame/16100003_6.png
47,1,9,69004000,MiniGame/16100003_7.png
48,2,50,69004000,MiniGame/16100003_8.png
49,1,8,69004000,MiniGame/16100003_9.png
50,2,22,69004000,MiniGame/16100003_10.png
